locus,gene_weight,gene_name,gene_product,COG,operon,regulator,fur,link
b0597,0.149544833218,entH,proofreading thioesterase in enterobactin biosynthesis,"Secondary metabolites biosynthesis, transport and catabolism",entCEBAH,"crp,fur,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11105
b2676,0.124804390152,nrdF,"ribonucleoside-diphosphate reductase 2, &beta; subunit",Nucleotide transport and metabolism,nrdHIEF,"cra,fur,iscR,nrdR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12381
b4567,0.120401479681,yjjZ,putative protein,Function unknown,yjjZ,"fnr,fur,nac,oxyR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10474
b2675,0.119478124036,nrdE,"ribonucleoside-diphosphate reductase 2, &alpha; subunit",Nucleotide transport and metabolism,nrdHIEF,"cra,fur,iscR,nrdR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG20257
b2674,0.11503241585400001,nrdI,flavodoxin involved in dimanganese-tyrosyl radical cofactor maintenance for ribonucleotide reductase,Nucleotide transport and metabolism,nrdHIEF,"cra,fur,iscR,nrdR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7402
b0591,0.107136989078,entS,enterobactin exporter EntS,Carbohydrate transport and metabolism,entS,"fur,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11104
b1705,0.106152587503,ydiE,conserved protein,Inorganic ion transport and metabolism,ydiE,fur,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12391
b1452,0.104934937545,yncE,conserved protein,Function unknown,yncE,"arcA,fur,marA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6763
b2673,0.104328374318,nrdH,glutaredoxin-like protein,"Posttranslational modification, protein turnover, chaperones",nrdHIEF,"cra,fur,iscR,nrdR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7401
b0588,0.10333522845899999,fepC,ferric enterobactin ABC transporter - ATP binding subunit,Inorganic ion transport and metabolism,fepDGC,"fur,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10295
b0589,0.09608447157089996,fepG,ferric enterobactin ABC transporter - membrane subunit,Inorganic ion transport and metabolism,fepDGC,"fur,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10298
b0590,0.0896797585327,fepD,ferric enterobactin ABC transporter - membrane subunit,Inorganic ion transport and metabolism,fepDGC,"fur,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10296
b1681,0.08608046472480001,sufD,SufD component of SufBCD Fe-S cluster scaffold complex,"Posttranslational modification, protein turnover, chaperones",sufABCDSE,"fur,ihf,iscR,nsrR,oxyR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6907
b0592,0.0852274187136,fepB,ferric enterobactin ABC transporter - periplasmic binding protein,Inorganic ion transport and metabolism,fepB,"fur,rpoD,rutR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10294
b1679,0.0840601850822,sufE,sulfur acceptor for SufS cysteine desulfurase,Function unknown,sufABCDSE,"fur,ihf,iscR,nsrR,oxyR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6905
b4292,0.0826803411301,fecR,"regulator for fec operon, periplasmic",Signal transduction mechanisms,fecIR,"fur,rpoD,slyA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10292
b1684,0.0822508752499,sufA,Fe-S transport protein in Fe-S cluster assembly,Function unknown,sufABCDSE,"fur,ihf,iscR,nsrR,oxyR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11378
b1683,0.08117325495239999,sufB,SufB component of SufBCD Fe-S cluster scaffold complex,"Posttranslational modification, protein turnover, chaperones",sufABCDSE,"fur,ihf,iscR,nsrR,oxyR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6909
b1680,0.0809211122336,sufS,L-cysteine desulfurase,Amino acid transport and metabolism,sufABCDSE,"fur,ihf,iscR,nsrR,oxyR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6906
b1682,0.0805192359502,sufC,SufC component of SufBCD Fe-S cluster scaffold complex,"Posttranslational modification, protein turnover, chaperones",sufABCDSE,"fur,ihf,iscR,nsrR,oxyR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6908
b1495,0.078044557095,yddB,"outer membrane protein, putative porin",Inorganic ion transport and metabolism,yddAB,fur,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11743
b1496,0.076585866514,yddA,"putative transport protein, ABC superfamily - fused membrane component, ATP-binding component",Function unknown,yddAB,fur,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11742
b4293,0.0762288510894,fecI,"RNA polymerase, sigma 19 factor",Transcription,fecIR,"fur,rpoD,slyA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10291
b0587,0.0681756976187,fepE,ferric enterobactin (enterochelin) transport,Cell wall/membrane/envelope biogenesis,fes-ybdZ-entF-fepE,"fnr,fur,h-NS,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10297
b4582_1,0.067788776119,yoeA_1,,No COG Annotation,yoeA_1,fur,True,
b1494,0.06729872293650001,pqqL,putative zinc peptidase,"Posttranslational modification, protein turnover, chaperones",pqqL,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11744
b4291,0.0637641495909,fecA,ferric citrate outer membrane porin FecA,Inorganic ion transport and metabolism,fecABCDE,"crp,fecI,fur,hypT,pdhR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10286
b0803,0.06321215123719999,ybiI,conserved protein,Signal transduction mechanisms,ybiI,rpoS,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12421
b0152,0.06165851884050001,fhuD,iron(III) hydroxamate ABC transporter - periplasmic binding protein,Inorganic ion transport and metabolism,fhuACDB,"fur,rpoD,trpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10305
b0151,0.058258684386599986,fhuC,iron(III) hydroxamate ABC transporter - ATP binding subunit,Inorganic ion transport and metabolism,fhuACDB,"fur,rpoD,trpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10304
b0153,0.057953499085,fhuB,iron(III) hydroxamate ABC transporter - membrane subunit,Inorganic ion transport and metabolism,fhuACDB,"fur,rpoD,trpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10303
b3070,0.054751406672,yqjH,"ferric reductase, NADPH-dependent",Inorganic ion transport and metabolism,yqjH,"fur,rpoD,yqjI",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7593
b4640_1,-0.058391580964,yoeG_1,,No COG Annotation,yoeG_1,,False,
b3336,-0.0602569690508,bfr,bacterioferritin,Inorganic ion transport and metabolism,bfd-bfr,nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10113
b1656,-0.104642390887,sodB,superoxide dismutase (Fe),Inorganic ion transport and metabolism,sodB,"crp,ihf,nsrR,rpoD",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10954
