locus,comp,gene_name,product,operon,TF,link
b1480,0.09051051543500001,sra,30S ribosomal subunit protein S22,"bdm, sra","Sigma38, fis, ihf, ompR, rcsB",https://ecocyc.org/gene?orgid=ECOLI&id=EG11508
b1461,0.0895178900416,pptA,probable 4-oxalocrotonate tautomerase (4-OT),pptA,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11761
b1478,0.08911024830299999,adhP,ethanol dehydrogenase / alcohol dehydrogenase,adhP,fur,https://ecocyc.org/gene?orgid=ECOLI&id=G6775
b1443,0.08894731532889999,ydcV,"putative transport protein, ABC family - membrane component","ydcS, ydcT, ydcU, ydcV, patD","Sigma38, nac",https://ecocyc.org/gene?orgid=ECOLI&id=G6754
b1349,0.0873971217469,recT,"recombinase, DNA renaturation","recE, recT, ralR, ydaC, xisR, intR",,https://ecocyc.org/gene?orgid=ECOLI&id=EG11899
b1452,0.0872849156755,yncE,conserved protein,yncE,"arcA, fur, marA",https://ecocyc.org/gene?orgid=ECOLI&id=G6763
b1415,0.0860040441914,aldA,aldehyde dehydrogenase A,aldA,"Sigma70, arcA, crp, dnaA, fnr",https://ecocyc.org/gene?orgid=ECOLI&id=EG10035
b1440,0.0857347224519,ydcS,"putative transport protein, ABC superfamily - periplasmic binding protein / polyhydroxybutyrate synthase","ydcS, ydcT, ydcU, ydcV, patD","Sigma38, nac",https://ecocyc.org/gene?orgid=ECOLI&id=G6751
b1483,0.0843320236201,ddpF,YddO,"ddpX, ddpA, ddpB, ddpC, ddpD, ddpF","Sigma38, Sigma54, arcA, nac, ntrC",https://ecocyc.org/gene?orgid=ECOLI&id=G6777
b1487,0.0841995730542,ddpA,YddS,"ddpX, ddpA, ddpB, ddpC, ddpD, ddpF","Sigma38, Sigma54, arcA, nac, ntrC",https://ecocyc.org/gene?orgid=ECOLI&id=G6781
b1485,0.0840642670508,ddpC,YddQ,"ddpX, ddpA, ddpB, ddpC, ddpD, ddpF","Sigma38, Sigma54, arcA, nac, ntrC",https://ecocyc.org/gene?orgid=ECOLI&id=G6779
b1473,0.0839199241677,yddG,aromatic amino acid exporter,yddG,"Sigma38, fnr",https://ecocyc.org/gene?orgid=ECOLI&id=EG12713
b1441,0.08354760872660001,ydcT,"putative transport protein, ABC superfamily - ATP binding component","ydcS, ydcT, ydcU, ydcV, patD","Sigma38, nac, yeiE",https://ecocyc.org/gene?orgid=ECOLI&id=G6752
b4492_3,0.08276256183960001,ydbA_3,,ydbA_3,,
b1385,0.0824056852129,feaB,phenylacetaldehyde dehydrogenase,feaB,"Sigma70, arcA, crp, feaR, nsrR, yddM",https://ecocyc.org/gene?orgid=ECOLI&id=G7961
b1431,0.081564313928,ydcL,predicted lipoprotein,ydcL,,https://ecocyc.org/gene?orgid=ECOLI&id=G6742
b1430,0.08130530913,tehB,tellurite methyltransferase,"tehA, tehB",nsrR,https://ecocyc.org/gene?orgid=ECOLI&id=EG11884
b1433,0.0809337688469,ydcO,"putative transport protein, major facilitator superfamily (MFS)",ydcO,,https://ecocyc.org/gene?orgid=ECOLI&id=G6744
b1428,0.0808182274961,ydcK,predicted enzyme,ydcK,yheO,https://ecocyc.org/gene?orgid=ECOLI&id=G6741
b1479,0.0805207618429,maeA,"malate dehydrogenase, NAD-requiring",maeA,,https://ecocyc.org/gene?orgid=ECOLI&id=EG10948
b4428,0.0800458838737,hokB,toxin HokB,hokB,"crp, sokB",https://ecocyc.org/gene?orgid=ECOLI&id=G0-9610
b1343,0.0797139705429,dbpA,"ATP-dependent RNA helicase, specific for 23S rRNA",dbpA,fnr,https://ecocyc.org/gene?orgid=ECOLI&id=EG10210
b1444,0.079068868418,patD,&gamma;-aminobutyraldehyde dehydrogenase,"ydcS, ydcT, ydcU, ydcV, patD","Sigma38, nac",https://ecocyc.org/gene?orgid=ECOLI&id=G6755
b1344,0.07890817917989999,ttcA,tRNA C32 thiolase,ttcA,,https://ecocyc.org/gene?orgid=ECOLI&id=G6675
b1361,0.0786537939133,ydaW,Rac prophage; predicted DNA-binding protein,"ydaS, ydaT, ydaU, ydaV, ydaW, rzpR",,https://ecocyc.org/gene?orgid=ECOLI&id=G6685
b1491,0.0780990055156,yddW,predicted lipoprotein,yddW,,https://ecocyc.org/gene?orgid=ECOLI&id=G6785
b1356,0.0776885346446,racR,Rac prophage; predicted DNA-binding transcriptional regulator,racR,,https://ecocyc.org/gene?orgid=ECOLI&id=G6680
b1413,0.077454898467,hrpA,ATP-dependent helicase,hrpA,,https://ecocyc.org/gene?orgid=ECOLI&id=G6732
b1432,0.07709850051739997,insQ,predicted transposase,ydcM,,https://ecocyc.org/gene?orgid=ECOLI&id=G6743
b1399,0.0769758335819,paaX,PaaX DNA-binding transcriptional repressor,"paaX, paaY","Sigma70, paaX",https://ecocyc.org/gene?orgid=ECOLI&id=G6720
b1448,0.0768724823583,mnaT,L-amino acid N-acyltransferase,"mnaT, ydcZ",,https://ecocyc.org/gene?orgid=ECOLI&id=G6759
b1476,0.0765993857518,fdnI,"formate dehydrogenase N, &gamma; subunit","fdnG, fdnH, fdnI","Sigma70, fnr, narL, narP",https://ecocyc.org/gene?orgid=ECOLI&id=EG11229
b1449,0.0765613997912,curA,NADPH-dependent curcumin/dihydrocurcumin reductase subunit,curA,nac,https://ecocyc.org/gene?orgid=ECOLI&id=G6760
b1410,0.0761388387285,ynbC,predicted hydrolase,"ynbA, ynbB, ynbC, ynbD",rcsB;bglJ,https://ecocyc.org/gene?orgid=ECOLI&id=G6729
b1459_1,0.07593524015219999,yncI_1,,yncM,,
b1464,0.0757309150362,yddE,conserved protein,yddE,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11825
b1379,0.0757098825436,hslJ,lipoprotein implicated in Novobiocin resistance,hslJ,"Sigma70, cysB",https://ecocyc.org/gene?orgid=ECOLI&id=G6702
b4529,0.0754770055508,ydbJ,putative protein,ydbJ,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10450
b1418,0.0754243816173,cybB,cytochrome b561,cybB,,https://ecocyc.org/gene?orgid=ECOLI&id=EG10172
b1462,0.0753393565609,yddH,conserved protein,yddH,,https://ecocyc.org/gene?orgid=ECOLI&id=G6769
b1341,0.07475698785630001,ydaM,diguanylate cyclase,dgcM,,https://ecocyc.org/gene?orgid=ECOLI&id=G6673
b1454,0.0738858826492,yncG,predicted enzyme,yncG,nac,https://ecocyc.org/gene?orgid=ECOLI&id=G6765
b1424,0.0738826249213,opgD,glucan biosynthesis protein D,opgD,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12859
b1397,0.07371317634880001,paaJ,&beta;-ketoadipyl-CoA thiolase,"paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK","Sigma70, arcA, crp, ihf, paaX",https://ecocyc.org/gene?orgid=ECOLI&id=G6718
b1494,0.0732395371236,pqqL,putative zinc peptidase,pqqL,oxyS,https://ecocyc.org/gene?orgid=ECOLI&id=EG11744
b1384,0.07319536682080001,feaR,FeaR DNA-binding transcriptional activator,feaR,"Sigma70, arcA, crp, nac, nsrR, phoB",https://ecocyc.org/gene?orgid=ECOLI&id=G6706
b1412,0.07306956114680001,azoR,"NADH:quinone oxidoreductase, FMN-dependent",azoR,Sigma70,https://ecocyc.org/gene?orgid=ECOLI&id=G6731
b1435,0.073012811157,ydcP,predicted peptidase,ydcP,,https://ecocyc.org/gene?orgid=ECOLI&id=G6746
b1451,0.07181556186480001,yncD,putative TonB-dependent outer membrane receptor,yncD,arcA,https://ecocyc.org/gene?orgid=ECOLI&id=G6762
b1398,0.0715291065123,paaK,phenylacetate-CoA ligase,"paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK","Sigma70, arcA, crp, ihf, paaX",https://ecocyc.org/gene?orgid=ECOLI&id=G6719
b1468,0.07133151047110001,narZ,"nitrate reductase Z, &alpha; subunit","narZ, narY, narW, narV",,https://ecocyc.org/gene?orgid=ECOLI&id=EG10648
b1466,0.0702737663646,narW,"NarW, probable private chaperone for NarZ nitrate reductase subunit","narZ, narY, narW, narV",Sigma24,https://ecocyc.org/gene?orgid=ECOLI&id=EG10645
b1345,0.0690609739112,intR,Rac prophage; predicted integrase,"recE, recT, ralR, ydaC, xisR, intR",,https://ecocyc.org/gene?orgid=ECOLI&id=G6676
b1496,0.0689380704924,yddA,"putative transport protein, ABC superfamily - fused membrane component, ATP-binding component","yddA, yddB",fur,https://ecocyc.org/gene?orgid=ECOLI&id=EG11742
b1400,0.06892526664410001,paaY,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase","paaX, paaY","Sigma70, paaX",https://ecocyc.org/gene?orgid=ECOLI&id=G6721
b1342,0.0688845137953,ydaN,predicted Zn(II) exporter,ydaN,,https://ecocyc.org/gene?orgid=ECOLI&id=G6674
b1438,0.0686439753615,hicB,antitoxin of the HicA-HicB toxin-antitoxin system,"hicA, hicB",Sigma70,https://ecocyc.org/gene?orgid=ECOLI&id=G6749
b1429,0.0678865668223,tehA,tellurite resistance protein / ethidium exporter,"tehA, tehB","nsrR, yheO",https://ecocyc.org/gene?orgid=ECOLI&id=EG11883
b1357,0.0659085242709,ydaS,Rac prophage; predicted DNA-binding transcriptional regulator,"ydaS, ydaT, ydaU, ydaV, ydaW, rzpR",,https://ecocyc.org/gene?orgid=ECOLI&id=G6681
b4492_1,0.0654691653983,ydbA_1,"predicted outer membrane protein, N-ter fragment",ydbA_1,,
b1498,0.0650679586837,ydeN,putative sulfatase,"ydeN, ydeM","Sigma70, araC, argR, gadX, lrp, nagC",https://ecocyc.org/gene?orgid=ECOLI&id=G6788
b1439,0.0643815063472,ydcR,fused predicted DNA-binding transcriptional regulator and predicted amino transferase,ydcR,,https://ecocyc.org/gene?orgid=ECOLI&id=G6750
b1484,0.06360577098419999,ddpD,YddP,"ddpX, ddpA, ddpB, ddpC, ddpD, ddpF","Sigma38, Sigma54, arcA, nac, ntrC",https://ecocyc.org/gene?orgid=ECOLI&id=G6778
b1381,0.0633043491643,ydbH,putative protein,"ydbH, ynbE, ydbL",yheO,https://ecocyc.org/gene?orgid=ECOLI&id=G6703
b1495,0.06303174147559999,yddB,"outer membrane protein, putative porin","yddA, yddB",fur,https://ecocyc.org/gene?orgid=ECOLI&id=EG11743
b1467,0.0623141286081,narY,"nitrate reductase Z, &beta; subunit","narZ, narY, narW, narV",,https://ecocyc.org/gene?orgid=ECOLI&id=EG10647
b1486,0.0622066014616,ddpB,YddR,"ddpX, ddpA, ddpB, ddpC, ddpD, ddpF","Sigma38, Sigma54, arcA, nac, ntrC",https://ecocyc.org/gene?orgid=ECOLI&id=G6780
b1463,0.0619689564587,nhoA,arylamine <i>N</i>-acetyltransferase,nhoA,soxS,https://ecocyc.org/gene?orgid=ECOLI&id=G6770
b1340,0.061727548249,smrA,conserved protein with endonuclease activity,smrA,nac,https://ecocyc.org/gene?orgid=ECOLI&id=G6672
b1386,0.0616468875482,tynA,copper-containing amine oxidase,tynA,"Sigma70, feaR",https://ecocyc.org/gene?orgid=ECOLI&id=EG13139
b1450,0.0609418874576,mcbR,McbR DNA-binding transcriptional dual regulator,mcbR,,https://ecocyc.org/gene?orgid=ECOLI&id=G6761
b1395,0.0577886457159,paaH,3-hydroxyadipyl-CoA dehydrogenase (NAD<sup>+</sup>),"paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK","Sigma70, arcA, crp, ihf, paaX",https://ecocyc.org/gene?orgid=ECOLI&id=G6716
b1339,0.056550711239599996,abgR,"predicted DNA-binding transcriptional regulator, LYSR-type",abgR,nac,https://ecocyc.org/gene?orgid=ECOLI&id=G6671
b1411,0.05584725544290002,ynbD,"predicted phosphatase, inner membrane protein","ynbA, ynbB, ynbC, ynbD",rcsB;bglJ,https://ecocyc.org/gene?orgid=ECOLI&id=G6730
b1407,0.0551731483457,ydbD,protein involved in detoxification of methylglyoxal,ydbD,"Sigma38, nsrR",https://ecocyc.org/gene?orgid=ECOLI&id=EG11310
b1363,0.054615682593,trkG,K<sup>+</sup> transporter TrkG,trkG,ydcI,https://ecocyc.org/gene?orgid=ECOLI&id=EG11020
b1377,0.054234164269000004,ompN,"outer membrane pore protein N, non-specific","ydbK, ompN","Sigma38, soxS",https://ecocyc.org/gene?orgid=ECOLI&id=G6700
b1489,0.052885249565699996,dosP,"c-di-GMP phosphodiesterase, heme-regulated","dosC, dosP",,https://ecocyc.org/gene?orgid=ECOLI&id=G6783
b1937,0.051579518434100004,fliE,flagellar basal-body protein FliE,fliE,"Sigma28, Sigma70, csgD, flhD;flhC",https://ecocyc.org/gene?orgid=ECOLI&id=EG11346
b1359,0.050785006255199994,ydaU,Rac prophage; conserved protein,"ydaS, ydaT, ydaU, ydaV, ydaW, rzpR",,https://ecocyc.org/gene?orgid=ECOLI&id=G6683
b1465,0.049865504104300004,narV,"nitrate reductase Z, &gamma; subunit","narZ, narY, narW, narV",Sigma24,https://ecocyc.org/gene?orgid=ECOLI&id=EG10644
b1447,0.0489502349079,ydcZ,predicted inner membrane protein,"mnaT, ydcZ",,https://ecocyc.org/gene?orgid=ECOLI&id=G6758
b1474,0.04853261095750002,fdnG,"formate dehydrogenase N, &alpha; subunit","fdnG, fdnH, fdnI","Sigma70, fnr, narL, narP",https://ecocyc.org/gene?orgid=ECOLI&id=EG11227
b1419,0.0475344039304,ydcA,putative protein,ydcA,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11219
b1477,0.047372546768800004,yddM,predicted DNA-binding transcriptional regulator,yddM,yddM,https://ecocyc.org/gene?orgid=ECOLI&id=G6774
b4555,0.0473314838217,yicS,putative protein,yicS,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10469
b1949,-0.0501100458603,fliQ,flagellar biosynthesis protein FliQ,"fliL, fliM, fliN, fliO, fliP, fliQ, fliR","Sigma28, Sigma70, flhD;flhC",https://ecocyc.org/gene?orgid=ECOLI&id=EG11976
b4381,-0.058895024209199995,deoC,deoxyribose-phosphate aldolase,"deoC, deoA, deoB, deoD","Sigma70, crp, cytR, deoR, fis, modE",https://ecocyc.org/gene?orgid=ECOLI&id=EG10221
b4382,-0.0612521445017,deoA,thymidine phosphorylase / uracil phosphorylase,"deoC, deoA, deoB, deoD","Sigma70, crp, cytR, deoR, fis, modE",https://ecocyc.org/gene?orgid=ECOLI&id=EG10219
b3011,-0.0644512538121,yqhD,NADPH-dependent aldehyde reductase,"yqhD, dkgA","Sigma70, yqhC",https://ecocyc.org/gene?orgid=ECOLI&id=G7564
b3752,-0.0688011848539,rbsK,ribokinase,"rbsD, rbsA, rbsC, rbsB, rbsK, rbsR","Sigma70, crp, rbsR",https://ecocyc.org/gene?orgid=ECOLI&id=EG10818
b0356,-0.08904211750749999,frmA,formaldehyde dehydrogenase,"frmR, frmA, frmB",,https://ecocyc.org/gene?orgid=ECOLI&id=EG50010
b0357,-0.0909890348168,frmR,regulator protein,"frmR, frmA, frmB",,https://ecocyc.org/gene?orgid=ECOLI&id=G6209
b0355,-0.09735146405439997,frmB,<i>S</i>-formylglutathione hydrolase,"frmR, frmA, frmB",,https://ecocyc.org/gene?orgid=ECOLI&id=G6208
