locus,gene_weight,gene_name,gene_product,COG,operon,regulator,AbrB,link
BSU21450,0.069916327,yolJ,sublancin S-glycosyltransferase,Cell wall/membrane/envelope biogenesis,sunA->bdbB,"Rok,Abh,DnaA,YvrHb,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21450
new_3464210_3464288,0.069845832,S1293,5'UTR of sdpA,No COG category,,"Rok,Spo0A,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3464210_3464288
BSU40160,0.069594321,yydH,membrane protease,No COG category,yydF->yydJ,"Rok,SigA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU40160
new_1599179_1599282,0.066915127,S561,5'UTR of bpr,No COG category,,DegU,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1599179_1599282
BSU01950,0.066821888,skfE,[SW|ABC transporter] (binding protein),Defense mechanisms,skfA->skfH,"Spo0A,SigA,PhoP,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU01950
new_4094722_4095322_c,0.063977141,S1533,3'UTR of yxbD,No COG category,,"Spo0A,CodY,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4094722_4095322_c
new_4125593_4125741_c,0.06365323,S1543,intergenic region,No COG category,,"Rok,SigA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4125593_4125741_c
BSU21440,0.062720531,bdbB,thiol-disulfide oxidoreductase,"Post-translational modification, protein turnover, and chaperones",sunA->bdbB,"Rok,Abh,DnaA,YvrHb,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21440
BSU01960,0.062641545,skfF,ABC transporter (permease),Function unknown,skfA->skfH,"Spo0A,SigA,PhoP,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU01960
new_567551_567661,0.062124187000000004,S182,5'UTR of ydeH,No COG category,,AbrB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_567551_567661
new_1780399_1780532,0.061698862,S612,independent transcript,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1780399_1780532
new_292874_293464,0.059796851,S100,intergenic region,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_292874_293464
BSU01970,0.059578004000000004,skfG,unknown,Energy production and conversion,skfA->skfH,"Spo0A,SigA,PhoP,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU01970
BSU40150,0.058806317000000004,yydI,"[SW|ABC transporter], ATP-binding protein",No COG category,yydF->yydJ,"Rok,SigA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU40150
new_220033_220103,0.056328298,S78,3'UTR of skfH,No COG category,,"Spo0A,SigA,PhoP,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_220033_220103
BSU21480,0.056279586,sunA,sublancin 168 antimicrobial precursor peptide,No COG category,"sunA->bdbB, sunA","Rok,Abh,DnaA,YvrHb,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21480
BSU01980,0.054748152,skfH,unknown,Energy production and conversion,skfA->skfH,"Spo0A,SigA,PhoP,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU01980
BSU40140,0.053791925,yydJ,"[SW|ABC transporter], permease",No COG category,yydF->yydJ,"Rok,SigA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU40140
BSU00370,-0.057482805,abrB,transcriptional regulator,Transcription,abrB,"Spo0A,SigA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU00370
